year,Total_costAnnual
2020,24.464000000000002
2021,132.29713181008267
2022,232.2804043710299
2023,301.42471726020506
2024,464.3068119817809
2025,645.162507052625
2026,898.1280275012793
2027,1061.3746900429142
2028,1163.3638478277364
2029,1252.6864840207227
2030,1327.9445952924896
2031,1397.5762701089784
2032,1447.7090866187953
2033,1477.2106158687052
2034,1485.4145424503938
2035,1472.7974413203012
2036,1439.0656807993837
2037,1396.077892543339
2038,1336.2216895082338
2039,1257.720568319944
2040,1165.0776414747456
2041,1053.2401837493699
2042,921.9470401701495
2043,787.8936182871003
2044,635.5445641995443
2045,623.1939671463867
2046,614.2380084506975
2047,605.2754054260787
2048,596.3045416382743
2049,346.24293550284875
2050,332.34175170838546
