year,costAnnualAgri
2020,0.0
2021,1008197.5646891106
2022,2465322.82997203
2023,4386234.247657491
2024,6835584.178226693
2025,9819215.537421225
2026,13361948.317657365
2027,17547188.57354263
2028,27047305.72517802
2029,38135166.85719921
2030,52204191.74336682
2031,68289045.64092426
2032,84262141.01406248
2033,100121029.8893092
2034,120671504.48344958
2035,142166207.88474563
2036,162248420.43218443
2037,180960344.31191102
2038,196443923.37886363
2039,209603466.88730383
2040,219927010.62235624
2041,228676669.15151176
2042,234659486.0808326
2043,238021249.0883406
2044,238629061.50664496
2045,232187998.77615112
2046,221132665.00244203
2047,210077331.2287329
2048,199021997.45502394
2049,187966663.68131477
2050,176911329.90760574
