year,ghgAbateAnnualFMs
2020,488000.0
2021,1285398.4319685
2022,2130391.4657241
2023,3023388.3870564494
2024,3964798.4817552
2025,4955031.03561
2026,5994495.3344105
2027,7083600.663946349
2028,8222756.3100072
2029,9412371.558382701
2030,10652855.6948625
2031,11944618.005236253
2032,13288067.775293604
2033,14683614.2908242
2034,16131666.837617699
2035,17632634.701463755
2036,19186927.168152
2037,20794953.523472104
2038,22456540.77626807
2039,24172592.43123163
2040,25943571.00959914
2041,27769885.797160268
2042,29651946.079704653
2043,31364050.7683985
2044,33122994.346251756
2045,34929186.09905405
2046,36783035.31259506
2047,37479835.312595055
2048,38012101.97926172
2049,39801954.76203595
2050,41795125.42078376
