year,Total_ghgAnnual
2020,488000.0
2021,1325238.4319685
2022,2223028.2287676535
2023,3180491.7391756433
2024,4198685.206735943
2025,5276628.015170431
2026,6414163.731287354
2027,7612992.644613295
2028,8890875.205649884
2029,10234514.99058822
2030,11653999.94674237
2031,13146570.623781279
2032,14702151.29817177
2033,16320616.327063732
2034,18020872.697909903
2035,19783306.43100145
2036,21598050.54853862
2037,23458438.535741847
2038,25343070.4732982
2039,27271714.69163632
2040,29233277.664379403
2041,31255116.08365676
2042,33315692.75180021
2043,35195896.88995235
2044,37110255.246601164
2045,38975217.45312566
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,43847986.11610756
2050,45841156.77485537
