year,costAnnualFMs
2020,0.0
2021,27578643.55983813
2022,30209903.440855633
2023,33548186.777619664
2024,37670941.95419501
2025,42655617.35464647
2026,48579661.36303883
2027,55520522.363436855
2028,63555648.73990539
2029,72762488.87650922
2030,83218491.15731308
2031,95001103.96638183
2032,108187775.68778026
2033,122855954.70557313
2034,139083089.4038252
2035,156946628.16660136
2036,176524019.3779663
2037,197836324.0023354
2038,219588302.330889
2039,225444227.7069849
2040,231302405.51431528
2041,237162855.70727283
2042,243025598.24025053
2043,248890653.06764108
2044,254758040.1438373
2045,260627779.42323193
2046,266448467.70513517
2047,272262511.6972708
2048,278068294.96491754
2049,0.0
2050,0.0
