year,purCO2LULUCF
2020,1.112
2021,3.7622548480315015
2022,6.0085426447413885
2023,7.9020332455483295
2024,9.457409141262819
2025,10.67832617331154
2026,11.593405147248367
2027,12.230793758736716
2028,12.575329411937421
2029,12.688284885225388
2030,12.582849100779114
2031,12.276447608239563
2032,11.788070970288304
2033,11.133333374262335
2034,10.336792304280412
2035,9.419619306353553
2036,8.40518290245505
2037,7.320196091609482
2038,6.201664015565303
2039,5.232857938450945
2040,4.315963326003935
2041,3.4432297395497784
2042,2.59038876870358
2043,1.7034506849528555
2044,0.8771250861356279
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
