year,Total_ghgAnnual
2020,488000.0
2021,1337445.1519684999
2022,2281057.355258614
2023,3287200.0877850065
2024,4360724.192070515
2025,5517507.160021797
2026,6748461.519418302
2027,8044972.907929954
2028,9441737.254729249
2029,10897015.114774616
2030,12417150.899220888
2031,14004252.391760437
2032,15658862.36304503
2033,17384899.959070995
2034,19177341.029052924
2035,21034547.360313114
2036,22952683.764211617
2037,24924570.575057182
2038,26932735.984434694
2039,28813442.06154906
2040,30684036.673996065
2041,32563170.260450225
2042,34451477.897963084
2043,36370682.64838048
2044,38193808.2471977
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44128491.0668481
2050,45629216.719396085
