year,Total_costAnnual
2020,24.464000000000002
2021,142.96394945475672
2022,247.56196417217467
2023,320.1871189482274
2024,468.7743513973496
2025,623.8489425513778
2026,826.5683346108075
2027,943.6948688269482
2028,1002.4316179201417
2029,1036.6174664749758
2030,1044.309182474923
2031,1023.9681603554919
2032,977.2570604082244
2033,903.0747304379025
2034,816.4462475800477
2035,711.4081367124666
2036,590.5385380139865
2037,469.3078864565845
2038,377.21512547003476
2039,359.63680920121317
2040,348.42104771937704
2041,337.20792191183637
2042,325.9962445124275
2043,314.7843954556364
2044,303.57075543225363
2045,292.353705874199
2046,281.13162893971264
2047,269.90290749889857
2048,258.6659251196113
2049,182.93557861487662
2050,170.38158101755377
