year,techAgri,r,capAgri
2020,Agri01_AGC,DE1,0.0
2020,Agri01_AGC,DE2,0.0
2020,Agri01_AGC,DE3,0.0
2020,Agri01_AGC,DE4,0.0
2020,Agri01_AGC,DE5,0.0
2020,Agri01_AGC,DE6,0.0
2020,Agri01_AGC,DE7,0.0
2020,Agri01_AGC,DE8,0.0
2020,Agri01_AGC,DE9,0.0
2020,Agri01_AGC,DEA,0.0
2020,Agri01_AGC,DEB,0.0
2020,Agri01_AGC,DEC,0.0
2020,Agri01_AGC,DEE,0.0
2020,Agri01_AGC,DED,0.0
2020,Agri01_AGC,DEF,0.0
2020,Agri01_AGC,DEG,0.0
2020,Agri02_OFC,DE1,0.0
2020,Agri02_OFC,DE2,0.0
2020,Agri02_OFC,DE3,0.0
2020,Agri02_OFC,DE4,0.0
2020,Agri02_OFC,DE5,0.0
2020,Agri02_OFC,DE6,0.0
2020,Agri02_OFC,DE7,0.0
2020,Agri02_OFC,DE8,0.0
2020,Agri02_OFC,DE9,0.0
2020,Agri02_OFC,DEA,0.0
2020,Agri02_OFC,DEB,0.0
2020,Agri02_OFC,DEC,0.0
2020,Agri02_OFC,DEE,0.0
2020,Agri02_OFC,DED,0.0
2020,Agri02_OFC,DEF,0.0
2020,Agri02_OFC,DEG,0.0
2020,Agri03_No-till,DE1,0.0
2020,Agri03_No-till,DE2,0.0
2020,Agri03_No-till,DE3,0.0
2020,Agri03_No-till,DE4,0.0
2020,Agri03_No-till,DE5,0.0
2020,Agri03_No-till,DE6,0.0
2020,Agri03_No-till,DE7,0.0
2020,Agri03_No-till,DE8,0.0
2020,Agri03_No-till,DE9,0.0
2020,Agri03_No-till,DEA,0.0
2020,Agri03_No-till,DEB,0.0
2020,Agri03_No-till,DEC,0.0
2020,Agri03_No-till,DEE,0.0
2020,Agri03_No-till,DED,0.0
2020,Agri03_No-till,DEF,0.0
2020,Agri03_No-till,DEG,0.0
2020,Agri04_toGrassland,DE1,0.0
2020,Agri04_toGrassland,DE2,0.0
2020,Agri04_toGrassland,DE3,0.0
2020,Agri04_toGrassland,DE4,0.0
2020,Agri04_toGrassland,DE5,0.0
2020,Agri04_toGrassland,DE6,0.0
2020,Agri04_toGrassland,DE7,0.0
2020,Agri04_toGrassland,DE8,0.0
2020,Agri04_toGrassland,DE9,0.0
2020,Agri04_toGrassland,DEA,0.0
2020,Agri04_toGrassland,DEB,0.0
2020,Agri04_toGrassland,DEC,0.0
2020,Agri04_toGrassland,DEE,0.0
2020,Agri04_toGrassland,DED,0.0
2020,Agri04_toGrassland,DEF,0.0
2020,Agri04_toGrassland,DEG,0.0
2020,Agri05_Agroforestry,DE1,0.0
2020,Agri05_Agroforestry,DE2,0.0
2020,Agri05_Agroforestry,DE3,0.0
2020,Agri05_Agroforestry,DE4,0.0
2020,Agri05_Agroforestry,DE5,0.0
2020,Agri05_Agroforestry,DE6,0.0
2020,Agri05_Agroforestry,DE7,0.0
2020,Agri05_Agroforestry,DE8,0.0
2020,Agri05_Agroforestry,DE9,0.0
2020,Agri05_Agroforestry,DEA,0.0
2020,Agri05_Agroforestry,DEB,0.0
2020,Agri05_Agroforestry,DEC,0.0
2020,Agri05_Agroforestry,DEE,0.0
2020,Agri05_Agroforestry,DED,0.0
2020,Agri05_Agroforestry,DEF,0.0
2020,Agri05_Agroforestry,DEG,0.0
2020,Agri06_Biochar,DE1,0.0
2020,Agri06_Biochar,DE2,0.0
2020,Agri06_Biochar,DE3,0.0
2020,Agri06_Biochar,DE4,0.0
2020,Agri06_Biochar,DE5,0.0
2020,Agri06_Biochar,DE6,0.0
2020,Agri06_Biochar,DE7,0.0
2020,Agri06_Biochar,DE8,0.0
2020,Agri06_Biochar,DE9,0.0
2020,Agri06_Biochar,DEA,0.0
2020,Agri06_Biochar,DEB,0.0
2020,Agri06_Biochar,DEC,0.0
2020,Agri06_Biochar,DEE,0.0
2020,Agri06_Biochar,DED,0.0
2020,Agri06_Biochar,DEF,0.0
2020,Agri06_Biochar,DEG,0.0
2021,Agri01_AGC,DE1,12155.896912464845
2021,Agri01_AGC,DE2,26504.57968055282
2021,Agri01_AGC,DE3,0.0
2021,Agri01_AGC,DE4,10481.086838479468
2021,Agri01_AGC,DE5,0.0
2021,Agri01_AGC,DE6,0.0
2021,Agri01_AGC,DE7,6835.773068821584
2021,Agri01_AGC,DE8,11563.200649985736
2021,Agri01_AGC,DE9,21885.735591077766
2021,Agri01_AGC,DEA,12701.327322205454
2021,Agri01_AGC,DEB,6319.838306885857
2021,Agri01_AGC,DEC,0.0
2021,Agri01_AGC,DEE,9693.007595712868
2021,Agri01_AGC,DED,7212.964241056816
2021,Agri01_AGC,DEF,8357.830523221182
2021,Agri01_AGC,DEG,6681.727933919594
2021,Agri02_OFC,DE1,0.0
2021,Agri02_OFC,DE2,0.0
2021,Agri02_OFC,DE3,0.0
2021,Agri02_OFC,DE4,0.0
2021,Agri02_OFC,DE5,0.0
2021,Agri02_OFC,DE6,0.0
2021,Agri02_OFC,DE7,0.0
2021,Agri02_OFC,DE8,0.0
2021,Agri02_OFC,DE9,0.0
2021,Agri02_OFC,DEA,0.0
2021,Agri02_OFC,DEB,0.0
2021,Agri02_OFC,DEC,0.0
2021,Agri02_OFC,DEE,0.0
2021,Agri02_OFC,DED,0.0
2021,Agri02_OFC,DEF,0.0
2021,Agri02_OFC,DEG,0.0
2021,Agri03_No-till,DE1,0.0
2021,Agri03_No-till,DE2,0.0
2021,Agri03_No-till,DE3,0.0
2021,Agri03_No-till,DE4,0.0
2021,Agri03_No-till,DE5,0.0
2021,Agri03_No-till,DE6,0.0
2021,Agri03_No-till,DE7,0.0
2021,Agri03_No-till,DE8,0.0
2021,Agri03_No-till,DE9,0.0
2021,Agri03_No-till,DEA,0.0
2021,Agri03_No-till,DEB,0.0
2021,Agri03_No-till,DEC,0.0
2021,Agri03_No-till,DEE,0.0
2021,Agri03_No-till,DED,0.0
2021,Agri03_No-till,DEF,0.0
2021,Agri03_No-till,DEG,0.0
2021,Agri04_toGrassland,DE1,82.07166068288367
2021,Agri04_toGrassland,DE2,178.9481175884458
2021,Agri04_toGrassland,DE3,0.16710555605907368
2021,Agri04_toGrassland,DE4,70.7640257884601
2021,Agri04_toGrassland,DE5,0.5372608979566699
2021,Agri04_toGrassland,DE6,0.8824732092029023
2021,Agri04_toGrassland,DE7,46.15235320350879
2021,Agri04_toGrassland,DE8,78.07001712729223
2021,Agri04_toGrassland,DE9,147.76356513721294
2021,Agri04_toGrassland,DEA,85.75418446839352
2021,Agri04_toGrassland,DEB,42.66897200827393
2021,Agri04_toGrassland,DEC,4.537066169602761
2021,Agri04_toGrassland,DEE,65.44323599653275
2021,Agri04_toGrassland,DED,48.69899423898233
2021,Agri04_toGrassland,DEF,56.42866467907295
2021,Agri04_toGrassland,DEG,45.11230324811955
2021,Agri05_Agroforestry,DE1,891.948614213981
2021,Agri05_Agroforestry,DE2,1944.7946364329202
2021,Agri05_Agroforestry,DE3,1.816090571509933
2021,Agri05_Agroforestry,DE4,769.0580915877928
2021,Agri05_Agroforestry,DE5,5.83891089100079
2021,Agri05_Agroforestry,DE6,9.590652235865504
2021,Agri05_Agroforestry,DE7,501.5802914192652
2021,Agri05_Agroforestry,DE8,848.4590540626477
2021,Agri05_Agroforestry,DE9,1605.8832739440502
2021,Agri05_Agroforestry,DEA,931.9700047885785
2021,Agri05_Agroforestry,DEB,463.72316748614696
2021,Agri05_Agroforestry,DEC,49.30849271115454
2021,Agri05_Agroforestry,DEE,711.2321496981672
2021,Agri05_Agroforestry,DED,529.2569939934683
2021,Agri05_Agroforestry,DEF,613.2624689650193
2021,Agri05_Agroforestry,DEG,490.2771069984313
2021,Agri06_Biochar,DE1,0.0
2021,Agri06_Biochar,DE2,0.0
2021,Agri06_Biochar,DE3,0.0
2021,Agri06_Biochar,DE4,0.0
2021,Agri06_Biochar,DE5,0.0
2021,Agri06_Biochar,DE6,0.0
2021,Agri06_Biochar,DE7,0.0
2021,Agri06_Biochar,DE8,0.0
2021,Agri06_Biochar,DE9,0.0
2021,Agri06_Biochar,DEA,0.0
2021,Agri06_Biochar,DEB,0.0
2021,Agri06_Biochar,DEC,0.0
2021,Agri06_Biochar,DEE,0.0
2021,Agri06_Biochar,DED,0.0
2021,Agri06_Biochar,DEF,0.0
2021,Agri06_Biochar,DEG,0.0
2022,Agri01_AGC,DE1,24748.48456922926
2022,Agri01_AGC,DE2,52967.56067980228
2022,Agri01_AGC,DE3,0.0
2022,Agri01_AGC,DE4,21512.64744838579
2022,Agri01_AGC,DE5,0.0
2022,Agri01_AGC,DE6,162.54846335990587
2022,Agri01_AGC,DE7,13567.524261570717
2022,Agri01_AGC,DE8,23573.45087866466
2022,Agri01_AGC,DE9,43874.43626281232
2022,Agri01_AGC,DEA,25811.766667363438
2022,Agri01_AGC,DEB,13005.87488571112
2022,Agri01_AGC,DEC,0.0
2022,Agri01_AGC,DEE,19653.334776369087
2022,Agri01_AGC,DED,14767.915808743226
