year,costAnnualAgri
2020,0.0
2021,25981523.00510081
2022,51533483.67199357
2023,76646387.14122479
2024,101482606.73254326
2025,126154557.18120375
2026,150743726.701837
2027,174489590.29675403
2028,197921825.61214885
2029,220432507.00582194
2030,242447853.4746096
2031,263286853.49658385
2032,282816218.99017674
2033,299104269.79766047
2034,296829687.7337197
2035,293319117.0307467
2036,284872419.9006634
2037,276425722.7705799
2038,267979025.64049655
2039,259532328.51041308
2040,251085631.38032967
2041,242638934.25024626
2042,234192237.12016287
2043,225745539.99007946
2044,217298842.85999608
2045,208852145.7299127
2046,200405448.59982944
2047,191958751.46974587
2048,183512054.3396625
2049,175065357.20957908
2050,166618660.0794956
