year,techAgri,r,ghgAbateTechAgri
2020,Agri01_AGC,DE1,0.0
2020,Agri01_AGC,DE2,0.0
2020,Agri01_AGC,DE3,0.0
2020,Agri01_AGC,DE4,0.0
2020,Agri01_AGC,DE5,0.0
2020,Agri01_AGC,DE6,0.0
2020,Agri01_AGC,DE7,0.0
2020,Agri01_AGC,DE8,0.0
2020,Agri01_AGC,DE9,0.0
2020,Agri01_AGC,DEA,0.0
2020,Agri01_AGC,DEB,0.0
2020,Agri01_AGC,DEC,0.0
2020,Agri01_AGC,DEE,0.0
2020,Agri01_AGC,DED,0.0
2020,Agri01_AGC,DEF,0.0
2020,Agri01_AGC,DEG,0.0
2020,Agri02_OFC,DE1,0.0
2020,Agri02_OFC,DE2,0.0
2020,Agri02_OFC,DE3,0.0
2020,Agri02_OFC,DE4,0.0
2020,Agri02_OFC,DE5,0.0
2020,Agri02_OFC,DE6,0.0
2020,Agri02_OFC,DE7,0.0
2020,Agri02_OFC,DE8,0.0
2020,Agri02_OFC,DE9,0.0
2020,Agri02_OFC,DEA,0.0
2020,Agri02_OFC,DEB,0.0
2020,Agri02_OFC,DEC,0.0
2020,Agri02_OFC,DEE,0.0
2020,Agri02_OFC,DED,0.0
2020,Agri02_OFC,DEF,0.0
2020,Agri02_OFC,DEG,0.0
2020,Agri03_No-till,DE1,0.0
2020,Agri03_No-till,DE2,0.0
2020,Agri03_No-till,DE3,0.0
2020,Agri03_No-till,DE4,0.0
2020,Agri03_No-till,DE5,0.0
2020,Agri03_No-till,DE6,0.0
2020,Agri03_No-till,DE7,0.0
2020,Agri03_No-till,DE8,0.0
2020,Agri03_No-till,DE9,0.0
2020,Agri03_No-till,DEA,0.0
2020,Agri03_No-till,DEB,0.0
2020,Agri03_No-till,DEC,0.0
2020,Agri03_No-till,DEE,0.0
2020,Agri03_No-till,DED,0.0
2020,Agri03_No-till,DEF,0.0
2020,Agri03_No-till,DEG,0.0
2020,Agri04_toGrassland,DE1,0.0
2020,Agri04_toGrassland,DE2,0.0
2020,Agri04_toGrassland,DE3,0.0
2020,Agri04_toGrassland,DE4,0.0
2020,Agri04_toGrassland,DE5,0.0
2020,Agri04_toGrassland,DE6,0.0
2020,Agri04_toGrassland,DE7,0.0
2020,Agri04_toGrassland,DE8,0.0
2020,Agri04_toGrassland,DE9,0.0
2020,Agri04_toGrassland,DEA,0.0
2020,Agri04_toGrassland,DEB,0.0
2020,Agri04_toGrassland,DEC,0.0
2020,Agri04_toGrassland,DEE,0.0
2020,Agri04_toGrassland,DED,0.0
2020,Agri04_toGrassland,DEF,0.0
2020,Agri04_toGrassland,DEG,0.0
2020,Agri05_Agroforestry,DE1,0.0
2020,Agri05_Agroforestry,DE2,0.0
2020,Agri05_Agroforestry,DE3,0.0
2020,Agri05_Agroforestry,DE4,0.0
2020,Agri05_Agroforestry,DE5,0.0
2020,Agri05_Agroforestry,DE6,0.0
2020,Agri05_Agroforestry,DE7,0.0
2020,Agri05_Agroforestry,DE8,0.0
2020,Agri05_Agroforestry,DE9,0.0
2020,Agri05_Agroforestry,DEA,0.0
2020,Agri05_Agroforestry,DEB,0.0
2020,Agri05_Agroforestry,DEC,0.0
2020,Agri05_Agroforestry,DEE,0.0
2020,Agri05_Agroforestry,DED,0.0
2020,Agri05_Agroforestry,DEF,0.0
2020,Agri05_Agroforestry,DEG,0.0
2020,Agri06_Biochar,DE1,0.0
2020,Agri06_Biochar,DE2,0.0
2020,Agri06_Biochar,DE3,0.0
2020,Agri06_Biochar,DE4,0.0
2020,Agri06_Biochar,DE5,0.0
2020,Agri06_Biochar,DE6,0.0
2020,Agri06_Biochar,DE7,0.0
2020,Agri06_Biochar,DE8,0.0
2020,Agri06_Biochar,DE9,0.0
2020,Agri06_Biochar,DEA,0.0
2020,Agri06_Biochar,DEB,0.0
2020,Agri06_Biochar,DEC,0.0
2020,Agri06_Biochar,DEE,0.0
2020,Agri06_Biochar,DED,0.0
2020,Agri06_Biochar,DEF,0.0
2020,Agri06_Biochar,DEG,0.0
2021,Agri01_AGC,DE1,26256.737330924065
2021,Agri01_AGC,DE2,57249.89210999409
2021,Agri01_AGC,DE3,0.0
2021,Agri01_AGC,DE4,22639.147571115653
2021,Agri01_AGC,DE5,0.0
2021,Agri01_AGC,DE6,0.0
2021,Agri01_AGC,DE7,14765.269828654624
2021,Agri01_AGC,DE8,24976.51340396919
2021,Agri01_AGC,DE9,47273.188876727974
2021,Agri01_AGC,DEA,27434.867015963784
2021,Agri01_AGC,DEB,13650.850742873452
2021,Agri01_AGC,DEC,0.0
2021,Agri01_AGC,DEE,20936.896406739797
2021,Agri01_AGC,DED,15580.002760682723
2021,Agri01_AGC,DEF,18052.913930157756
2021,Agri01_AGC,DEG,14432.532337266324
2021,Agri02_OFC,DE1,0.0
2021,Agri02_OFC,DE2,0.0
2021,Agri02_OFC,DE3,0.0
2021,Agri02_OFC,DE4,0.0
2021,Agri02_OFC,DE5,0.0
2021,Agri02_OFC,DE6,0.0
2021,Agri02_OFC,DE7,0.0
2021,Agri02_OFC,DE8,0.0
2021,Agri02_OFC,DE9,0.0
2021,Agri02_OFC,DEA,0.0
2021,Agri02_OFC,DEB,0.0
2021,Agri02_OFC,DEC,0.0
2021,Agri02_OFC,DEE,0.0
2021,Agri02_OFC,DED,0.0
2021,Agri02_OFC,DEF,0.0
2021,Agri02_OFC,DEG,0.0
2021,Agri03_No-till,DE1,0.0
2021,Agri03_No-till,DE2,0.0
2021,Agri03_No-till,DE3,0.0
2021,Agri03_No-till,DE4,0.0
2021,Agri03_No-till,DE5,0.0
2021,Agri03_No-till,DE6,0.0
2021,Agri03_No-till,DE7,0.0
2021,Agri03_No-till,DE8,0.0
2021,Agri03_No-till,DE9,0.0
2021,Agri03_No-till,DEA,0.0
2021,Agri03_No-till,DEB,0.0
2021,Agri03_No-till,DEC,0.0
2021,Agri03_No-till,DEE,0.0
2021,Agri03_No-till,DED,0.0
2021,Agri03_No-till,DEF,0.0
2021,Agri03_No-till,DEG,0.0
2021,Agri04_toGrassland,DE1,457.9598666104909
2021,Agri04_toGrassland,DE2,998.5304961435276
2021,Agri04_toGrassland,DE3,0.9324490028096312
2021,Agri04_toGrassland,DE4,394.8632638996074
2021,Agri04_toGrassland,DE5,2.9979158105982178
2021,Agri04_toGrassland,DE6,4.924200507352195
2021,Agri04_toGrassland,DE7,257.53013087557906
2021,Agri04_toGrassland,DE8,435.63069557029064
2021,Agri04_toGrassland,DE9,824.5206934656482
2021,Agri04_toGrassland,DEA,478.50834933363586
2021,Agri04_toGrassland,DEB,238.09286380616854
2021,Agri04_toGrassland,DEC,25.31682922638341
2021,Agri04_toGrassland,DEE,365.17325686065277
2021,Agri04_toGrassland,DED,271.7403878535214
2021,Agri04_toGrassland,DEF,314.87194890922706
2021,Agri04_toGrassland,DEG,251.7266521245071
2021,Agri05_Agroforestry,DE1,22209.52049392813
2021,Agri05_Agroforestry,DE2,48425.38644717972
2021,Agri05_Agroforestry,DE3,45.22065523059733
2021,Agri05_Agroforestry,DE4,19149.546480536043
2021,Agri05_Agroforestry,DE5,145.38888118591967
2021,Agri05_Agroforestry,DE6,238.80724067305107
2021,Agri05_Agroforestry,DE7,12489.349256339705
2021,Agri05_Agroforestry,DE8,21126.630446159932
2021,Agri05_Agroforestry,DE9,39986.49352120685
2021,Agri05_Agroforestry,DEA,23206.053119235607
2021,Agri05_Agroforestry,DEB,11546.70687040506
2021,Agri05_Agroforestry,DEC,1227.7814685077483
2021,Agri05_Agroforestry,DEE,17709.680527484365
2021,Agri05_Agroforestry,DED,13178.499150437363
2021,Agri05_Agroforestry,DEF,15270.23547722898
2021,Agri05_Agroforestry,DEG,12207.89996426094
2021,Agri06_Biochar,DE1,0.0
2021,Agri06_Biochar,DE2,0.0
2021,Agri06_Biochar,DE3,0.0
2021,Agri06_Biochar,DE4,0.0
2021,Agri06_Biochar,DE5,0.0
2021,Agri06_Biochar,DE6,0.0
2021,Agri06_Biochar,DE7,0.0
2021,Agri06_Biochar,DE8,0.0
2021,Agri06_Biochar,DE9,0.0
2021,Agri06_Biochar,DEA,0.0
2021,Agri06_Biochar,DEB,0.0
2021,Agri06_Biochar,DEC,0.0
2021,Agri06_Biochar,DEE,0.0
2021,Agri06_Biochar,DED,0.0
2021,Agri06_Biochar,DEF,0.0
2021,Agri06_Biochar,DEG,0.0
2022,Agri01_AGC,DE1,53456.7266695352
2022,Agri01_AGC,DE2,114409.93106837293
2022,Agri01_AGC,DE3,0.0
2022,Agri01_AGC,DE4,46467.31848851331
2022,Agri01_AGC,DE5,0.0
2022,Agri01_AGC,DE6,351.1046808573967
2022,Agri01_AGC,DE7,29305.85240499275
2022,Agri01_AGC,DE8,50918.65389791567
2022,Agri01_AGC,DE9,94768.78232767462
2022,Agri01_AGC,DEA,55753.41600150503
2022,Agri01_AGC,DEB,28092.689753136023
2022,Agri01_AGC,DEC,0.0
2022,Agri01_AGC,DEE,42451.20311695723
