year,ghgAbateAnnualFMs
2020,488000.0
2021,1273198.4319685
2022,2096231.4657241001
2023,2957508.3870564494
2024,3857438.4817552
2025,4796431.03561
2026,5774895.3344105
2027,6793240.663946349
2028,7851876.3100072
2029,8951211.558382701
2030,10091655.6948625
2031,11273618.005236251
2032,12497507.7752936
2033,13763734.2908242
2034,15072706.837617703
2035,16424834.701463753
2036,17820527.168152
2037,18707427.168151997
2038,19597060.501485337
2039,20508960.501485337
2040,21462660.501485333
2041,22469060.501485337
2042,23504527.168151997
2043,24536793.834818672
2044,25533593.834818672
2045,26462660.501485333
2046,27291727.168152004
2047,27988527.168152
2048,28520793.834818665
2049,30462655.34673833
2050,31275549.134458844
