year,costAnnualFMs
2020,0.0
2021,26906957.74537892
2022,28238849.992419194
2023,29572655.446016014
2024,30908394.06056219
2025,32246085.790450532
2026,33585750.59007388
2027,34927408.413825005
2028,36271079.21609677
2029,37616782.95128198
2030,38964539.573773466
2031,40314369.037964
2032,41666291.29824644
2033,43020326.309013575
2034,44376494.024658285
2035,45734814.39957329
2036,47095307.388151474
2037,48457992.944785655
2038,49822891.0238686
2039,51180805.17650129
2040,52519038.95437667
2041,53859908.4256135
2042,55202226.32381604
2043,56544372.58324174
2044,57884727.89445592
2045,59221673.68915747
2046,60553592.125368856
2047,61878866.07297952
2048,63195879.09963337
2049,0.0
2050,0.0
