year,techAgri,r,ghgAbateTechAgri
2020,Agri01_AGC,DE1,0.0
2020,Agri01_AGC,DE2,0.0
2020,Agri01_AGC,DE3,0.0
2020,Agri01_AGC,DE4,0.0
2020,Agri01_AGC,DE5,0.0
2020,Agri01_AGC,DE6,0.0
2020,Agri01_AGC,DE7,0.0
2020,Agri01_AGC,DE8,0.0
2020,Agri01_AGC,DE9,0.0
2020,Agri01_AGC,DEA,0.0
2020,Agri01_AGC,DEB,0.0
2020,Agri01_AGC,DEC,0.0
2020,Agri01_AGC,DEE,0.0
2020,Agri01_AGC,DED,0.0
2020,Agri01_AGC,DEF,0.0
2020,Agri01_AGC,DEG,0.0
2020,Agri02_OFC,DE1,0.0
2020,Agri02_OFC,DE2,0.0
2020,Agri02_OFC,DE3,0.0
2020,Agri02_OFC,DE4,0.0
2020,Agri02_OFC,DE5,0.0
2020,Agri02_OFC,DE6,0.0
2020,Agri02_OFC,DE7,0.0
2020,Agri02_OFC,DE8,0.0
2020,Agri02_OFC,DE9,0.0
2020,Agri02_OFC,DEA,0.0
2020,Agri02_OFC,DEB,0.0
2020,Agri02_OFC,DEC,0.0
2020,Agri02_OFC,DEE,0.0
2020,Agri02_OFC,DED,0.0
2020,Agri02_OFC,DEF,0.0
2020,Agri02_OFC,DEG,0.0
2020,Agri03_No-till,DE1,0.0
2020,Agri03_No-till,DE2,0.0
2020,Agri03_No-till,DE3,0.0
2020,Agri03_No-till,DE4,0.0
2020,Agri03_No-till,DE5,0.0
2020,Agri03_No-till,DE6,0.0
2020,Agri03_No-till,DE7,0.0
2020,Agri03_No-till,DE8,0.0
2020,Agri03_No-till,DE9,0.0
2020,Agri03_No-till,DEA,0.0
2020,Agri03_No-till,DEB,0.0
2020,Agri03_No-till,DEC,0.0
2020,Agri03_No-till,DEE,0.0
2020,Agri03_No-till,DED,0.0
2020,Agri03_No-till,DEF,0.0
2020,Agri03_No-till,DEG,0.0
2020,Agri04_toGrassland,DE1,0.0
2020,Agri04_toGrassland,DE2,0.0
2020,Agri04_toGrassland,DE3,0.0
2020,Agri04_toGrassland,DE4,0.0
2020,Agri04_toGrassland,DE5,0.0
2020,Agri04_toGrassland,DE6,0.0
2020,Agri04_toGrassland,DE7,0.0
2020,Agri04_toGrassland,DE8,0.0
2020,Agri04_toGrassland,DE9,0.0
2020,Agri04_toGrassland,DEA,0.0
2020,Agri04_toGrassland,DEB,0.0
2020,Agri04_toGrassland,DEC,0.0
2020,Agri04_toGrassland,DEE,0.0
2020,Agri04_toGrassland,DED,0.0
2020,Agri04_toGrassland,DEF,0.0
2020,Agri04_toGrassland,DEG,0.0
2020,Agri05_Agroforestry,DE1,0.0
2020,Agri05_Agroforestry,DE2,0.0
2020,Agri05_Agroforestry,DE3,0.0
2020,Agri05_Agroforestry,DE4,0.0
2020,Agri05_Agroforestry,DE5,0.0
2020,Agri05_Agroforestry,DE6,0.0
2020,Agri05_Agroforestry,DE7,0.0
2020,Agri05_Agroforestry,DE8,0.0
2020,Agri05_Agroforestry,DE9,0.0
2020,Agri05_Agroforestry,DEA,0.0
2020,Agri05_Agroforestry,DEB,0.0
2020,Agri05_Agroforestry,DEC,0.0
2020,Agri05_Agroforestry,DEE,0.0
2020,Agri05_Agroforestry,DED,0.0
2020,Agri05_Agroforestry,DEF,0.0
2020,Agri05_Agroforestry,DEG,0.0
2020,Agri06_Biochar,DE1,0.0
2020,Agri06_Biochar,DE2,0.0
2020,Agri06_Biochar,DE3,0.0
2020,Agri06_Biochar,DE4,0.0
2020,Agri06_Biochar,DE5,0.0
2020,Agri06_Biochar,DE6,0.0
2020,Agri06_Biochar,DE7,0.0
2020,Agri06_Biochar,DE8,0.0
2020,Agri06_Biochar,DE9,0.0
2020,Agri06_Biochar,DEA,0.0
2020,Agri06_Biochar,DEB,0.0
2020,Agri06_Biochar,DEC,0.0
2020,Agri06_Biochar,DEE,0.0
2020,Agri06_Biochar,DED,0.0
2020,Agri06_Biochar,DEF,0.0
2020,Agri06_Biochar,DEG,0.0
2021,Agri01_AGC,DE1,14587.076294957815
2021,Agri01_AGC,DE2,31805.495616663386
2021,Agri01_AGC,DE3,0.0
2021,Agri01_AGC,DE4,12577.304206175362
2021,Agri01_AGC,DE5,0.0
2021,Agri01_AGC,DE6,0.0
2021,Agri01_AGC,DE7,8202.927682585901
2021,Agri01_AGC,DE8,13875.840779982886
2021,Agri01_AGC,DE9,26262.88270929332
2021,Agri01_AGC,DEA,15241.592786646546
2021,Agri01_AGC,DEB,7583.805968263028
2021,Agri01_AGC,DEC,0.0
2021,Agri01_AGC,DEE,11631.609114855442
2021,Agri01_AGC,DED,8655.557089268179
2021,Agri01_AGC,DEF,10029.396627865419
2021,Agri01_AGC,DEG,8018.073520703513
2021,Agri02_OFC,DE1,0.0
2021,Agri02_OFC,DE2,0.0
2021,Agri02_OFC,DE3,0.0
2021,Agri02_OFC,DE4,0.0
2021,Agri02_OFC,DE5,0.0
2021,Agri02_OFC,DE6,0.0
2021,Agri02_OFC,DE7,0.0
2021,Agri02_OFC,DE8,0.0
2021,Agri02_OFC,DE9,0.0
2021,Agri02_OFC,DEA,0.0
2021,Agri02_OFC,DEB,0.0
2021,Agri02_OFC,DEC,0.0
2021,Agri02_OFC,DEE,0.0
2021,Agri02_OFC,DED,0.0
2021,Agri02_OFC,DEF,0.0
2021,Agri02_OFC,DEG,0.0
2021,Agri03_No-till,DE1,0.0
2021,Agri03_No-till,DE2,0.0
2021,Agri03_No-till,DE3,0.0
2021,Agri03_No-till,DE4,0.0
2021,Agri03_No-till,DE5,0.0
2021,Agri03_No-till,DE6,0.0
2021,Agri03_No-till,DE7,0.0
2021,Agri03_No-till,DE8,0.0
2021,Agri03_No-till,DE9,0.0
2021,Agri03_No-till,DEA,0.0
2021,Agri03_No-till,DEB,0.0
2021,Agri03_No-till,DEC,0.0
2021,Agri03_No-till,DEE,0.0
2021,Agri03_No-till,DED,0.0
2021,Agri03_No-till,DEF,0.0
2021,Agri03_No-till,DEG,0.0
2021,Agri04_toGrassland,DE1,254.42214811693938
2021,Agri04_toGrassland,DE2,554.7391645241819
2021,Agri04_toGrassland,DE3,0.5180272237831284
2021,Agri04_toGrassland,DE4,219.3684799442263
2021,Agri04_toGrassland,DE5,1.6655087836656766
2021,Agri04_toGrassland,DE6,2.7356669485289973
2021,Agri04_toGrassland,DE7,143.07229493087723
2021,Agri04_toGrassland,DE8,242.01705309460593
2021,Agri04_toGrassland,DE9,458.0670519253601
2021,Agri04_toGrassland,DEA,265.8379718520199
2021,Agri04_toGrassland,DEB,132.2738132256492
2021,Agri04_toGrassland,DEC,14.06490512576856
2021,Agri04_toGrassland,DEE,202.87403158925153
2021,Agri04_toGrassland,DED,150.96688214084523
2021,Agri04_toGrassland,DEF,174.92886050512615
2021,Agri04_toGrassland,DEG,139.8481400691706
2021,Agri05_Agroforestry,DE1,12338.622496626738
2021,Agri05_Agroforestry,DE2,26902.992470655397
2021,Agri05_Agroforestry,DE3,25.12258623922074
2021,Agri05_Agroforestry,DE4,10638.636933631135
2021,Agri05_Agroforestry,DE5,80.77160065884426
2021,Agri05_Agroforestry,DE6,132.67068926280615
2021,Agri05_Agroforestry,DE7,6938.52736463317
2021,Agri05_Agroforestry,DE8,11737.016914533295
2021,Agri05_Agroforestry,DE9,22214.718622892695
2021,Agri05_Agroforestry,DEA,12892.251732908671
2021,Agri05_Agroforestry,DEB,6414.837150225033
2021,Agri05_Agroforestry,DEC,682.1008158376379
2021,Agri05_Agroforestry,DEE,9838.71140415798
2021,Agri05_Agroforestry,DED,7321.3884169096455
2021,Agri05_Agroforestry,DEF,8483.464154016101
2021,Agri05_Agroforestry,DEG,6782.166646811634
2021,Agri06_Biochar,DE1,0.0
2021,Agri06_Biochar,DE2,0.0
2021,Agri06_Biochar,DE3,0.0
2021,Agri06_Biochar,DE4,0.0
2021,Agri06_Biochar,DE5,0.0
2021,Agri06_Biochar,DE6,0.0
2021,Agri06_Biochar,DE7,0.0
2021,Agri06_Biochar,DE8,0.0
2021,Agri06_Biochar,DE9,0.0
2021,Agri06_Biochar,DEA,0.0
2021,Agri06_Biochar,DEB,0.0
2021,Agri06_Biochar,DEC,0.0
2021,Agri06_Biochar,DEE,0.0
2021,Agri06_Biochar,DED,0.0
2021,Agri06_Biochar,DEF,0.0
2021,Agri06_Biochar,DEG,0.0
2022,Agri01_AGC,DE1,29698.18148307511
2022,Agri01_AGC,DE2,63561.07281576273
2022,Agri01_AGC,DE3,0.0
2022,Agri01_AGC,DE4,25815.17693806295
2022,Agri01_AGC,DE5,0.0
2022,Agri01_AGC,DE6,195.05815603188705
2022,Agri01_AGC,DE7,16281.029113884862
2022,Agri01_AGC,DE8,28288.14105439759
2022,Agri01_AGC,DE9,52649.323515374774
2022,Agri01_AGC,DEA,30974.120000836123
2022,Agri01_AGC,DEB,15607.049862853346
2022,Agri01_AGC,DEC,0.0
2022,Agri01_AGC,DEE,23584.001731642908
