year,Total_costAnnual
2020,24.464000000000002
2021,137.91147384759876
2022,238.83853736240815
2023,314.15017851737525
2024,467.6928554351747
2025,628.2140452627191
2026,838.8515315497845
2027,961.2555089569457
2028,1023.1479817718727
2029,1064.2615472871275
2030,1082.070018905331
2031,1074.6836981188783
2032,1040.2855624779388
2033,977.1878086262393
2034,884.7173649087737
2035,764.7817632330576
2036,625.8667090617403
2037,468.8356645731563
2038,381.13563276828927
2039,308.9148457336602
2040,299.1656748093203
2041,289.41913957834197
2042,279.67405277432925
2043,269.92879433153973
2044,260.18174494053875
2045,250.43128603302517
2046,240.67579976702132
2047,230.91366901241682
2048,221.14327733685548
2049,146.85999353500688
2050,135.7725888327916
