year,costAnnualFMs
2020,0.0
2021,26914862.778780982
2022,28255038.70965606
2023,29597510.48839899
2024,34077665.17460182
2025,39592124.12945598
2026,46233825.41383922
2027,54001574.75558286
2028,56064716.700891554
2029,58130298.16569632
2030,60198343.095268615
2031,62268875.43487982
2032,64341919.12980131
2033,66417498.125304386
2034,68495636.36666055
2035,70576357.7991411
2036,72659686.36801746
2037,74745646.018561
2038,76834260.69604312
2039,78925554.34573513
2040,80965111.86407943
2041,83006973.8247382
2042,85045294.77944139
2043,87083154.79370262
2044,89116484.7906857
2045,126175517.49927546
2046,166214207.94093677
2047,209328969.4561791
2048,243576960.7567206
2049,0.0
2050,0.0
