year,Total_costAnnual
2020,29.356800000000003
2021,146.4771218596329
2022,265.156030335698
2023,345.79023295368887
2024,525.1391609487919
2025,717.2458983908772
2026,978.1130577072394
2027,1134.101776157006
2028,1217.824710053995
2029,1280.072003327026
2030,1318.6178969996422
2031,1332.6783691018156
2032,1317.9483239526708
2033,1272.6956727799802
2034,1195.8892443826417
2035,1088.8929202300505
2036,953.5624198117007
2037,791.6310724024141
2038,610.1115474796876
2039,452.79224744877115
2040,275.52528197232886
2041,268.9098925440878
2042,262.29595180772355
2043,255.68183969427895
2044,249.06593689115613
2045,242.44662482694193
2046,235.82228565659608
2047,229.19130224699452
2048,222.5520581628154
2049,151.12524696589026
2050,143.16902067837222
