year,ghgAbateAnnualFMs
2020,488000.0
2021,1430238.1183622
2022,2417877.7588689197
2023,3451410.0644677393
2024,4531326.17810624
2025,5658117.242732
2026,6832274.4012926
2027,8054288.796735618
2028,9324651.57200864
2029,10643853.87005924
2030,12012386.833834998
2031,13430741.6062835
2032,14899409.330352321
2033,16418881.148989042
2034,17989648.20514124
2035,19612201.6417565
2036,21287032.6017824
2037,23014632.228166517
2038,24795491.66385644
2039,26630102.05179974
2040,28518954.534944
2041,29989301.07606084
2042,31024767.742727503
2043,32057034.40939418
2044,33053834.409394175
2045,33982901.07606084
2046,34811967.74272751
2047,35508767.7427275
2048,36041034.40939417
2049,38009700.511775926
2050,38645736.24497197
