year,costAnnualFMs
2020,0.0
2021,26906957.74537892
2022,28238849.992419194
2023,29572655.446016014
2024,30908394.06056219
2025,32246085.790450532
2026,37750725.80478636
2027,42588185.873314336
2028,44217495.337999046
2029,45848837.735597186
2030,47482233.020501606
2031,49117701.14710508
2032,50755262.06980046
2033,52394935.74298053
2034,54036742.121038176
2035,55680701.15836612
2036,57326832.80935725
2037,58975157.02840436
2038,60625693.76990025
2039,62278462.988237776
2040,63933484.63780971
2041,65590778.67300891
2042,67250365.04822819
2043,68912263.71786031
2044,70576494.63629818
2045,72199058.97497295
2046,73816596.11596961
2047,75427488.92725724
2048,77030120.97458972
2049,0.0
2050,0.0
