year,Total_ghgAnnual
2020,488000.0
2021,1352878.4319685
2022,2283195.4407139397
2023,3347278.0796668488
2024,4490640.587334452
2025,5757789.6208759425
2026,7096457.1393577
2027,8509634.436043242
2028,9908115.510670006
2029,11420252.920798313
2030,12997930.949672075
2031,14641360.73217988
2032,16355180.588981206
2033,18136590.052880462
2034,19974330.577575874
2035,21851788.122650873
2036,23770738.624577947
2037,25706784.17855648
2038,27634705.844522707
2039,29590760.793872785
2040,31545973.31857747
2041,33553803.476385474
2042,35544441.38912924
2043,37311989.75548008
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44051982.93907277
2050,45579154.87478334
