,S12,S19,S20,S26,S13,S17,S11,S22,S06,S16,S14,S04,S08,S25,S23,S15,S05,S09,S02,S21,S01,S24,S10,S07,S18,S03
S12,1.000000,0.974226,0.874254,0.965175,0.986996,0.978808,0.989852,0.984998,0.996342,0.900236,0.995566,0.986233,0.956433,0.886360,0.989332,0.982770,0.992743,0.991732,0.957043,0.914506,0.954986,0.952805,0.964379,0.989378,0.933302,0.991732
S19,0.974226,1.000000,0.892693,0.918405,0.991496,0.935372,0.947282,0.965633,0.963954,0.943451,0.970985,0.980795,0.936092,0.865838,0.963341,0.937708,0.981342,0.974329,0.913527,0.932718,0.962632,0.928204,0.922933,0.974366,0.913064,0.974329
S20,0.874254,0.892693,1.000000,0.777891,0.913907,0.882465,0.859856,0.925715,0.853042,0.960709,0.876265,0.913080,0.864518,0.743054,0.830659,0.862426,0.913336,0.886887,0.887634,0.990378,0.818536,0.786061,0.895882,0.877691,0.789875,0.886887
S26,0.965175,0.918405,0.777891,1.000000,0.928954,0.963945,0.976300,0.934548,0.979251,0.817628,0.968488,0.923186,0.955492,0.906474,0.980942,0.967665,0.939166,0.938475,0.931403,0.816027,0.935244,0.967599,0.930782,0.946697,0.944418,0.938475
S13,0.986996,0.991496,0.913907,0.928954,1.000000,0.958179,0.963287,0.987113,0.975342,0.944080,0.986425,0.989239,0.955680,0.880513,0.972002,0.954968,0.996680,0.984391,0.939431,0.950050,0.960904,0.937711,0.948644,0.981891,0.926196,0.984391
S17,0.978808,0.935372,0.882465,0.963945,0.958179,1.000000,0.989953,0.982547,0.980428,0.876562,0.979919,0.962684,0.957435,0.866623,0.966666,0.989915,0.972752,0.965100,0.987255,0.909054,0.916031,0.930508,0.987745,0.967065,0.912555,0.965100
S11,0.989852,0.947282,0.859856,0.976300,0.963287,0.989953,1.000000,0.974989,0.994323,0.871143,0.984597,0.970210,0.947661,0.867581,0.980656,0.996811,0.974950,0.978815,0.969270,0.894205,0.929448,0.940947,0.973563,0.976458,0.917268,0.978815
S22,0.984998,0.965633,0.925715,0.934548,0.987113,0.982547,0.974989,1.000000,0.974880,0.922831,0.987586,0.983095,0.961206,0.869888,0.963951,0.972942,0.994951,0.978698,0.973017,0.953231,0.932096,0.927084,0.979608,0.975232,0.915669,0.978698
S06,0.996342,0.963954,0.853042,0.979251,0.975342,0.980428,0.994323,0.974880,1.000000,0.881692,0.993257,0.974522,0.958753,0.894692,0.994154,0.986865,0.982235,0.982324,0.953532,0.892266,0.954162,0.961647,0.958966,0.984294,0.940325,0.982324
S16,0.900236,0.943451,0.960709,0.817628,0.944080,0.876562,0.871143,0.922831,0.881692,1.000000,0.902451,0.931646,0.898569,0.819779,0.879350,0.859921,0.932026,0.908218,0.858111,0.971132,0.909703,0.854586,0.868386,0.909623,0.860177,0.908218
