,S12,S19,S20,S26,S13,S17,S11,S22,S06,S16,S14,S04,S08,S25,S23,S15,S05,S09,S02,S21,S01,S24,S10,S07,S18,S03
S12,1.000000,0.999883,0.999991,1.000000,0.999986,0.999947,0.999987,0.999999,1.000000,1.000000,0.999999,1.000000,1.000000,1.000000,1.000000,0.999998,1.000000,1.000000,0.999983,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
S19,0.999883,1.000000,0.999875,0.999883,0.999947,0.999675,0.999792,0.999882,0.999883,0.999882,0.999882,0.999883,0.999883,0.999882,0.999883,0.999881,0.999883,0.999883,0.999867,0.999883,0.999882,0.999883,0.999883,0.999883,0.999883,0.999883
S20,0.999991,0.999875,1.000000,0.999994,0.999983,0.999943,0.999979,0.999997,0.999994,0.999988,0.999996,0.999994,0.999994,0.999987,0.999992,0.999998,0.999994,0.999994,0.999998,0.999994,0.999987,0.999989,0.999994,0.999994,0.999989,0.999994
S26,1.000000,0.999883,0.999994,1.000000,0.999987,0.999948,0.999987,1.000000,1.000000,0.999999,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,1.000000,1.000000,0.999986,1.000000,0.999999,0.999999,1.000000,1.000000,0.999999,1.000000
S13,0.999986,0.999947,0.999983,0.999987,1.000000,0.999883,0.999947,0.999987,0.999987,0.999985,0.999987,0.999987,0.999987,0.999985,0.999986,0.999987,0.999987,0.999987,0.999976,0.999987,0.999985,0.999986,0.999987,0.999987,0.999986,0.999987
S17,0.999947,0.999675,0.999943,0.999948,0.999883,1.000000,0.999987,0.999948,0.999948,0.999946,0.999948,0.999948,0.999948,0.999946,0.999948,0.999947,0.999948,0.999948,0.999936,0.999948,0.999946,0.999947,0.999948,0.999948,0.999947,0.999948
S11,0.999987,0.999792,0.999979,0.999987,0.999947,0.999987,1.000000,0.999986,0.999987,0.999987,0.999986,0.999987,0.999987,0.999986,0.999987,0.999985,0.999987,0.999987,0.999971,0.999987,0.999986,0.999987,0.999987,0.999987,0.999987,0.999987
S22,0.999999,0.999882,0.999997,1.000000,0.999987,0.999948,0.999986,1.000000,1.000000,0.999997,1.000000,1.000000,1.000000,0.999997,0.999999,1.000000,1.000000,1.000000,0.999991,1.000000,0.999997,0.999998,1.000000,1.000000,0.999998,1.000000
S06,1.000000,0.999883,0.999994,1.000000,0.999987,0.999948,0.999987,1.000000,1.000000,0.999999,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,1.000000,1.000000,0.999986,1.000000,0.999999,0.999999,1.000000,1.000000,0.999999,1.000000
S16,1.000000,0.999882,0.999988,0.999999,0.999985,0.999946,0.999987,0.999997,0.999999,1.000000,0.999998,0.999999,0.999999,1.000000,1.000000,0.999996,0.999999,0.999999,0.999978,0.999999,1.000000,1.000000,0.999999,0.999999,1.000000,0.999999
S14,0.999999,0.999882,0.999996,1.000000,0.999987,0.999948,0.999986,1.000000,1.000000,0.999998,1.000000,1.000000,1.000000,0.999998,0.999999,1.000000,1.000000,1.000000,0.999990,1.000000,0.999997,0.999998,1.000000,1.000000,0.999998,1.000000
S04,1.000000,0.999883,0.999994,1.000000,0.999987,0.999948,0.999987,1.000000,1.000000,0.999999,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,1.000000,1.000000,0.999986,1.000000,0.999999,0.999999,1.000000,1.000000,0.999999,1.000000
S08,1.000000,0.999883,0.999994,1.000000,0.999987,0.999948,0.999987,1.000000,1.000000,0.999999,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,1.000000,1.000000,0.999986,1.000000,0.999999,0.999999,1.000000,1.000000,0.999999,1.000000
S25,1.000000,0.999882,0.999987,0.999999,0.999985,0.999946,0.999986,0.999997,0.999999,1.000000,0.999998,0.999999,0.999999,1.000000,1.000000,0.999995,0.999999,0.999999,0.999977,0.999999,1.000000,1.000000,0.999999,0.999999,1.000000,0.999999
S23,1.000000,0.999883,0.999992,1.000000,0.999986,0.999948,0.999987,0.999999,1.000000,1.000000,0.999999,1.000000,1.000000,1.000000,1.000000,0.999998,1.000000,1.000000,0.999983,1.000000,0.999999,1.000000,1.000000,1.000000,1.000000,1.000000
S15,0.999998,0.999881,0.999998,0.999999,0.999987,0.999947,0.999985,1.000000,0.999999,0.999996,1.000000,0.999999,0.999999,0.999995,0.999998,1.000000,0.999999,0.999999,0.999993,0.999999,0.999995,0.999997,0.999999,0.999999,0.999997,0.999999
S05,1.000000,0.999883,0.999994,1.000000,0.999987,0.999948,0.999987,1.000000,1.000000,0.999999,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,1.000000,1.000000,0.999986,1.000000,0.999999,0.999999,1.000000,1.000000,0.999999,1.000000
S09,1.000000,0.999883,0.999994,1.000000,0.999987,0.999948,0.999987,1.000000,1.000000,0.999999,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,1.000000,1.000000,0.999986,1.000000,0.999999,0.999999,1.000000,1.000000,0.999999,1.000000
S02,0.999983,0.999867,0.999998,0.999986,0.999976,0.999936,0.999971,0.999991,0.999986,0.999978,0.999990,0.999986,0.999986,0.999977,0.999983,0.999993,0.999986,0.999986,1.000000,0.999986,0.999977,0.999980,0.999986,0.999986,0.999980,0.999986
S21,1.000000,0.999883,0.999994,1.000000,0.999987,0.999948,0.999987,1.000000,1.000000,0.999999,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,1.000000,1.000000,0.999986,1.000000,0.999999,0.999999,1.000000,1.000000,0.999999,1.000000
S01,1.000000,0.999882,0.999987,0.999999,0.999985,0.999946,0.999986,0.999997,0.999999,1.000000,0.999997,0.999999,0.999999,1.000000,0.999999,0.999995,0.999999,0.999999,0.999977,0.999999,1.000000,1.000000,0.999999,0.999999,1.000000,0.999999
