year,purCO2LULUCF
2020,1.112
2021,3.594819255588579
2022,5.691370620241655
2023,7.423439152817576
2024,8.80816952762886
2025,9.86692891963818
2026,10.619199146255069
2027,11.084784056349353
2028,11.290782441430238
2029,11.256400213734201
2030,10.99338218486044
2031,10.520852402352629
2032,9.858484042950279
2033,9.026180319088692
2034,8.04894050209915
2035,6.963060624556395
2036,5.789615685178756
2037,4.582987146779573
2038,3.447709756452973
2039,2.471774794045114
2040,1.5501744845775853
2041,0.6302084186574426
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
