year,Total_costAnnual
2020,44.480000000000004
2021,230.95849229595052
2022,418.365195619304
2023,548.0093644775071
2024,833.2109610439065
2025,1141.528432926143
2026,1562.0593099293249
2027,1820.9352167619595
2028,1968.3933701304823
2029,2085.3130945106386
2030,2168.315253326047
2031,2214.709552008221
2032,2221.938875152413
2033,2187.6559736286954
2034,2110.642883963519
2035,1992.42038891537
2036,1832.3532533219336
2037,1637.385035500915
2038,1425.3803220076993
2039,1211.7815900798043
2040,984.2119411483911
2041,728.6104655832348
2042,525.3314681253536
2043,516.0135649735184
2044,506.69387097013566
2045,497.3707675457406
2046,488.0426368572107
2047,478.70786177330876
2048,469.36482586056957
2049,180.3267604951364
2050,165.2611468437638
