year,costAnnualFMs
2020,0.0
2021,27578643.55983813
2022,30209903.440855633
2023,33548186.77761966
2024,37670941.95419501
2025,42655617.35464647
2026,48579661.36303883
2027,55520522.363436855
2028,63555648.73990539
2029,72762488.87650922
2030,83218491.1573131
2031,95001103.9663818
2032,108187775.68778025
2033,122855954.70557314
2034,139083089.40382516
2035,156946628.16660136
2036,176524019.37796628
2037,197892711.42198488
2038,221071918.44034496
2039,226967072.3510168
2040,232864478.69292304
2041,238764157.4204565
2042,244663803.89694256
2043,250533961.78592727
2044,256402328.82117814
2045,262267286.43325686
2046,268127216.77906674
2047,273980502.72739583
2048,279825527.84480435
2049,0.0
2050,0.0
