year,purCO2LULUCF
2020,1.112
2021,3.594732118296852
2022,5.691283482949929
2023,7.423352015525849
2024,8.807225154034086
2025,9.865984546043407
2026,10.618254772660295
2027,11.08383968275458
2028,11.29069530413851
2029,11.256313076442476
2030,10.993295047568711
2031,10.520848038148143
2032,9.858484042950279
2033,9.026180319088692
2034,8.048940502099153
2035,6.963060624556395
2036,5.789615685178756
2037,4.582987146779573
2038,3.401405683984269
2039,2.425470721576403
2040,1.5038704121088777
2041,0.5839043461887279
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
