year,Total_costAnnual
2020,48.928000000000004
2021,248.94016017949374
2022,452.51961247115213
2023,592.5557725598176
2024,903.7135577803218
2025,1240.2096349364176
2026,1700.085095833499
2027,1982.1388377661085
2028,2141.666199971436
2029,2267.5583110060925
2030,2356.0903136350607
2031,2404.3045777371876
2032,2409.3691117593407
2033,2368.7007424080703
2034,2280.9658266967735
2035,2147.8690804988687
2036,1968.71391198841
2037,1751.2631985562612
2038,1507.0394961296263
2039,1270.808849723021
2040,1019.4566494987241
2041,737.3292001576265
2042,530.449859951686
2043,521.2544041892984
2044,512.0571575731768
2045,502.85650153388303
2046,493.6508182283203
2047,484.4384905252771
2048,475.21790199131317
2049,180.3267604951364
2050,165.2611468437638
