year,Total_ghgAnnual
2020,488000.0
2021,1504967.8817031488
2022,2598316.517050073
2023,3765881.317807487
2024,5010908.179299249
2025,6329848.78728993
2026,7723611.894006372
2027,9191926.983912092
2028,10726371.362528158
2029,12328986.923557527
2030,14006704.95243129
2031,15759851.961851858
2032,17588449.290383056
2033,19492053.01424464
2034,21465192.83123418
2035,23491106.04211027
2036,25568250.981487915
2037,27661779.519887093
2038,29732994.31601573
2039,31620829.2784236
2040,33496129.587891124
2041,35422495.653811276
2042,37041866.666666664
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44318029.166086115
2050,45641342.204183966
