year,ghgAbateAnnualFMs
2020,488000.0
2021,1285449.4391753979
2022,2130493.938550402
2023,3023542.783914661
2024,3965005.2610578276
2025,4955290.655769547
2026,5994808.253839476
2027,7083967.341057258
2028,8223177.203212546
2029,9412847.126094993
2030,10653351.312003408
2031,11945133.827171514
2032,13288603.957388962
2033,14684152.768824445
2034,16132207.611522835
2035,17633177.771273777
2036,19187472.53386691
2037,20795501.1850919
2038,22457090.733792756
2039,24173144.684661206
2040,25747190.71651964
2041,27366847.78016853
2042,29032525.161397513
2043,29693612.324895103
2044,30690412.324895103
2045,31937520.7441712
2046,32448545.65822844
2047,33145345.65822843
2048,33679102.50838974
2049,35506719.2180504
2050,36979797.20185353
