year,costAnnualAgri
2020,0.0
2021,23638885.956683464
2022,46673054.96394907
2023,69054828.53083295
2024,90886456.87940277
2025,112179923.60767867
2026,132983759.55312714
2027,152934257.1545697
2028,172056565.72874466
2029,190033293.20756325
2030,207268276.40548652
2031,223753628.71307623
2032,239448733.39535367
2033,254352331.12937683
2034,268330367.22715673
2035,280986844.9137845
2036,292222647.27920425
2037,300710693.5254712
2038,305133849.39645153
2039,305962260.52532184
2040,303919963.22466224
2041,300851669.70611614
2042,285786056.05474347
2043,270720442.40337116
2044,255654828.7519987
2045,240589215.10062623
2046,225523601.4492536
2047,210457987.79788128
2048,195392374.1465088
2049,180326760.4951364
2050,165261146.84376383
