year,costAnnualAgri
2020,0.0
2021,1008197.5646891106
2022,2465322.82997203
2023,4386234.247657491
2024,6835584.178226693
2025,9819215.537421225
2026,13361948.317657365
2027,17547188.57354263
2028,22255141.857970815
2029,27571396.965786915
2030,42133113.81016516
2031,58710659.665933214
2032,75176446.99728204
2033,91528027.8307394
2034,107658451.04794583
2035,123221087.35954088
2036,144542036.06868044
2037,164333607.2597966
2038,181059273.1705285
2039,195460903.5227481
2040,207026534.10157996
2041,217018279.47451475
2042,224243183.247615
2043,228847033.09890255
2044,225507737.24491328
2045,216493948.52041936
2046,207480159.79592532
2047,198466371.07143143
2048,189452582.34693757
2049,180438793.62244353
2050,171425004.8979496
