year,purCO2LULUCF
2020,1.112
2021,3.7468215680315016
2022,6.0080950081887945
2023,7.917518242038497
2024,9.492921401616648
2025,10.756208338602473
2026,11.72763453850246
2027,12.42374204138643
2028,12.873260543163596
2029,13.09202877135875
2030,13.008282995530244
2031,12.705403951826177
2032,12.223485706435888
2033,11.58272216418255
2034,10.80811696060195
2035,9.935672452169637
2036,8.922776683783542
2037,7.867689247140902
2038,6.827183681211864
2039,5.785056564509993
2040,4.783544039805296
2041,3.779242008628838
2042,2.7920008187732783
2043,1.7759638978295236
2044,0.8771250861356386
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
