year,Total_costAnnual
2020,12.232000000000001
2021,79.43395187050118
2022,129.83774045750633
2023,164.5979406873087
2024,246.58824907435513
2025,337.8610306394398
2026,466.21063365919423
2027,549.4699598873009
2028,601.8277534637609
2029,648.1119721882175
2030,692.1483824504708
2031,728.6736072130061
2032,755.9257577919922
2033,773.4372030521115
2034,780.9864555913799
2035,778.9376693203488
2036,769.563128640766
2037,750.4070065355352
2038,723.0560362580189
2039,686.6350800109329
2040,643.4095286473843
2041,590.8676145152373
2042,528.8941572611795
2043,452.85814180785906
2044,370.75490288293963
2045,275.9347528954317
2046,268.25285763266953
2047,260.5643180801398
2048,252.86751780312136
2049,180.4387936224435
2050,171.4250048979496
