year,Total_ghgAnnual
2020,488000.0
2021,1352878.4319685
2022,2281504.9918112075
2023,3271715.0912948376
2024,4325211.931716686
2025,5439624.994730862
2026,6614232.1281642085
2027,7852024.62528024
2028,9143806.123503074
2029,10493271.228641255
2030,11991717.004469756
2031,13575296.04817382
2032,15223447.626897447
2033,16935511.16915078
2034,18706016.372731384
2035,20518494.21449703
2036,22435089.982883126
2037,24377077.419525765
2038,26307216.318788134
2039,28261243.435490012
2040,30216455.960194703
2041,32227157.991371166
2042,34249865.84789339
2043,36298169.43550381
2044,38193808.247197695
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,43949580.747744486
2050,45466345.01103794
