Year,Peat_Extraction
2020,0.02
2021,0.026000000000000002
2022,0.032
2023,0.038000000000000006
2024,0.044000000000000004
2025,0.05
2026,0.05600000000000001
2027,0.06200000000000001
2028,0.068
2029,0.07400000000000001
2030,0.08000000000000002
2031,0.08600000000000001
2032,0.09200000000000001
2033,0.09800000000000002
2034,0.10400000000000002
2035,0.11000000000000001
2036,0.11600000000000002
2037,0.12200000000000003
2038,0.128
2039,0.134
2040,0.14
2041,0.146
2042,0.152
2043,0.158
2044,0.164
2045,0.17
2046,0.17600000000000002
2047,0.182
2048,0.18800000000000003
2049,0.194
2050,0.2
