year,costAnnualFMs
2020,0.0
2021,27578643.55983813
2022,30209903.440855633
2023,33548186.777619664
2024,37670941.95419501
2025,42655617.35464647
2026,48579661.36303883
2027,55520522.363436855
2028,63555648.73990539
2029,72762488.87650922
2030,83218491.15731308
2031,95001103.96638183
2032,108187775.68778026
2033,122855954.70557313
2034,127056206.1528848
2035,130859238.31422317
2036,134664443.08922473
2037,138471840.43228218
2038,142281450.2977885
2039,146093292.64013636
2040,149907387.41371876
2041,153723754.57292825
2042,157542414.07215798
2043,161363385.8658005
2044,165148437.11210835
2045,168930078.96911588
2046,172706693.59332037
2047,176476663.85311034
2048,180238373.3146524
2049,0.0
2050,0.0
