year,Total_costAnnual
2020,24.464000000000002
2021,131.30896541173772
2022,223.27371401293775
2023,284.0977369688168
2024,439.36013900157945
2025,605.3185051668925
2026,829.6136807701737
2027,964.921734256056
2028,1039.1444717913962
2029,1095.5368967953439
2030,1132.2962290132252
2031,1147.791204143931
2032,1140.5593260012006
2033,1109.4243606738041
2034,1053.5412232133488
2035,973.5321830582394
2036,868.9428853464165
2037,742.1587967358548
2038,596.7203773611383
2039,471.2964738392233
2040,329.4528554860063
2041,251.49657618609638
2042,247.96667133365105
2043,244.4365608553171
2044,240.9043015756555
2045,237.36795120865378
2046,233.8255683399526
2047,230.27521240949648
2048,226.7149436945976
2049,147.06075804541535
2050,141.95450745298865
