year,costAnnualAgri
2020,0.0
2021,6120041.125336666
2022,20247056.52806953
2023,34476921.26823022
2024,48496267.83281287
2025,62288807.18202313
2026,84609898.60046673
2027,106258304.61723863
2028,127389192.60827462
2029,147890983.04544562
2030,167478129.17733538
2031,185967807.00399435
2032,203655580.48483294
2033,220542768.2186816
2034,236482659.53369796
2035,251100992.4375623
2036,264298650.02021867
2037,275453159.9339539
2038,279120304.08523244
2039,276750276.57729775
2040,272236941.76740694
2041,266989161.0682509
2042,264004516.19625026
2043,259992844.87076402
2044,256299960.45825082
2045,254893668.88144457
2046,250820336.88250977
2047,241685095.84740016
2048,229212297.98731974
2049,212148764.2777551
2050,195085230.5681902
