year,Total_costAnnual
2020,29.356800000000003
2021,150.2884599736558
2022,268.50030371562315
2023,348.96914827521226
2024,528.2070211007712
2025,719.1475855035533
2026,980.3328638056274
2027,1134.9927655702547
2028,1219.3726589476669
2029,1280.8596717800308
2030,1317.1223154127997
2031,1326.2955756515428
2032,1306.4838549630463
2033,1255.9443690729088
2034,1173.6346630252306
2035,1060.1976941747196
2036,914.9510190111919
2037,740.7042479300244
2038,550.5595428657876
2039,355.67583092303283
2040,353.20205363148636
2041,349.99613489298906
2042,349.04981097569157
2043,347.0759996644666
2044,345.4164452489365
2045,381.06918638072
2046,417.03454482344654
2047,451.01406530357923
2048,472.7892587440403
2049,212.1487642777551
2050,195.08523056819018
