year,Total_ghgAnnual
2020,488000.0
2021,1546561.937286724
2022,2734089.684901578
2023,3994922.3101367964
2024,5378112.725504612
2025,6843308.269817062
2026,8441060.841592995
2027,10123232.356358944
2028,11789741.100490227
2029,13526941.800306382
2030,15336440.739324808
2031,17216666.644972317
2032,19170802.57666236
2033,21198576.151359223
2034,23294430.477707464
2035,25441929.26135276
2036,27639612.694068052
2037,29863591.519110598
2038,32009624.7883706
2039,34046300.0
2040,35000000.0
2041,36006400.0
2042,37041866.666666664
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,42393600.0
2050,42829105.50340193
