year,Total_ghgAnnual
2020,488000.0
2021,1237381.18718661
2022,2067078.4177894532
2023,2958175.7460942385
2024,3966038.5136971567
2025,5065487.283481908
2026,6247260.856693346
2027,7494902.9848594535
2028,8799135.44824642
2029,10163570.995504854
2030,11592914.004636308
2031,13087791.32506936
2032,14648506.111279882
2033,16279800.09119302
2034,17968884.180069067
2035,19694988.15237486
2036,21461608.507325403
2037,23244408.79023991
2038,25018016.550257828
2039,26818607.101617347
2040,28603739.139815025
2041,30406398.36841882
2042,32185503.606486227
2043,33996941.831532545
2044,35847066.132995814
2045,37727746.05234512
2046,39405246.06440566
2047,41098797.61510171
2048,42058133.33333333
2049,43318210.177038416
2050,43857228.05245474
