year,Total_costAnnual
2020,19.571200000000005
2021,112.20302578518984
2022,192.7037854688284
2023,251.20904067719528
2024,383.8496220313209
2025,531.8918269820124
2026,742.4678641033901
2027,878.2918958566576
2028,962.9085584740245
2029,1034.5350257755194
2030,1091.9030073310864
2031,1134.2272954676275
2032,1159.9142068108617
2033,1167.9427302170889
2034,1157.6854131055907
2035,1129.951558223593
2036,1085.581390732249
2037,1026.2560917877315
2038,955.0096010421669
2039,869.8113007713827
2040,775.9376267621388
2041,671.0032477558979
2042,556.638537266463
2043,421.79760914038644
2044,396.4516524249087
2045,390.9685249879798
2046,417.4696436863834
2047,453.17190620008864
2048,471.9913924518851
2049,212.67125054219918
2050,195.5929904231111
