year,purCO2LULUCF
2020,1.112
2021,3.801050489893472
2022,6.113809356169776
2023,8.043244661374262
2024,9.618114940654875
2025,10.877000486292523
2026,11.841260246414416
2027,12.52751811824831
2028,12.964349919116025
2029,13.167890741095087
2030,13.149237456668574
2031,12.929332250849795
2032,12.532661409150462
2033,11.979125110897098
2034,11.291185346595892
2035,10.505499041822349
2036,9.642912595782356
2037,8.747012312867849
2038,7.863037886183271
2039,6.995040023455658
2040,6.209734288843929
2041,5.445779182564237
2042,4.702140611163497
2043,3.933782347584483
2044,3.086314251643657
2045,2.1347009989610193
2046,1.0820389281008147
2047,0.0
2048,0.0
2049,0.0
2050,0.0
