year,Total_ghgAnnual
2020,390400.0
2021,1028901.7609915687
2022,1724993.026416414
2023,2552311.547132087
2024,3455715.652699671
2025,4416092.898445258
2026,5431552.183848618
2027,6504937.459288988
2028,7627140.755051538
2029,8801494.826665727
2030,10036370.649255468
2031,11330293.885414451
2032,12678246.097237945
2033,14079794.95300641
2034,15531946.309820654
2035,17017511.089712158
2036,18535110.741082035
2037,20060626.807145327
2038,21568287.442404583
2039,23073509.786739763
2040,24529138.203170255
2041,26007282.943440158
2042,27346772.010079492
2043,28692571.89043539
2044,30066740.572298422
2045,31459199.453989998
2046,32663253.333333336
2047,33220693.333333336
2048,33646506.666666664
2049,35013071.135829
2050,36202636.929868534
