year,Total_costAnnual
2020,29.3568
2021,151.49100576074562
2022,262.0270808044029
2023,339.7528692570853
2024,524.9317513163203
2025,724.3433021472365
2026,996.3144039423271
2027,1161.9763087941003
2028,1254.4775704001831
2029,1326.6510741252637
2030,1376.5037870402361
2031,1402.2282213137792
2032,1402.2043945426515
2033,1375.717984002993
2034,1319.610777852468
2035,1234.4478078885795
2036,1119.5476354961215
2037,980.0235641450922
2038,818.5325237208739
2039,634.0458935442755
2040,466.97192729577785
2041,280.7127268321357
2042,274.87451582185474
2043,269.03609921282606
2044,263.1955338292821
2045,257.3508773848882
2046,251.50018846496698
2047,245.64152650915068
2048,239.7729517944434
2049,157.78197343066225
2050,150.36742003513274
