year,costAnnualFMs
2020,0.0
2021,26899052.711976856
2022,28222661.275182325
2023,29547800.403633036
2024,30874486.06084322
2025,32202734.21032715
2026,33532560.81559907
2027,34863981.84017323
2028,36197013.2475639
2029,37531671.001285315
2030,38867971.06485175
2031,40205929.401777446
2032,41545561.97557664
2033,42886884.74976361
2034,44229913.68785259
2035,45574664.75335788
2036,46921153.90979368
2037,48269397.12067425
2038,49619410.34951389
2039,50971209.559826806
2040,52324810.715127245
2041,53680229.77892952
2042,55037482.71474783
2043,56369284.89065228
2044,57699654.3853187
2045,59027296.34317534
2046,60350916.489724055
2047,61669221.11997504
2048,62980917.08715623
2049,0.0
2050,0.0
