year,Total_ghgAnnual
2020,488000.0
2021,1244325.5101065286
2022,2058047.6609322694
2023,2955731.723265207
2024,3928152.495290722
2025,4956263.018061252
2026,6038237.676782911
2027,7176985.907561281
2028,8417038.106693568
2029,9709506.618047839
2030,11062827.902474348
2031,12475593.10829313
2032,13942849.283325795
2033,15464229.58157916
2034,17036805.345880367
2035,18643452.98398724
2036,20282859.43002723
2037,21930971.712941743
2038,23562083.472959653
2039,25189180.255438097
2040,26767989.858754605
2041,28300953.26507406
2042,29633493.333333332
2043,30459306.66666667
2044,31256746.66666667
2045,32000000.0
2046,32663253.333333336
2047,33220693.333333336
2048,33646506.666666664
2049,35233005.8205475
2050,36080916.8693166
