year,ghgAbateAnnualFMs
2020,488000.0
2021,1116158.7455748
2022,1774585.1725792796
2023,2463606.70964516
2024,3183550.78540416
2025,3934744.8284879997
2026,4717516.2675284
2027,5532192.531157079
2028,6379101.048005761
2029,7258569.246706162
2030,8170924.555890001
2031,9116494.404189
2032,10095606.22023488
2033,11108587.432659362
2034,12155765.470094163
2035,13237467.761171002
2036,14354021.734521601
2037,15505754.818777684
2038,16692994.442570964
2039,17916068.03453316
2040,19175303.023296002
2041,20471026.837491207
2042,21803566.90575048
2043,23170321.430221505
2044,23967761.430221505
2045,24711014.763554834
2046,25374268.09688817
2047,25931708.09688817
2048,26357521.430221498
2049,27681611.136929348
2050,29006722.46169964
