year,purCO2LULUCF
2020,0.7920000000000003
2021,2.8354344898934722
2022,4.573893913567733
2023,5.995916517901462
2024,7.126615745875947
2025,8.002812604638752
2026,8.637664612583759
2027,9.051227536868893
2028,9.208592287106434
2029,9.170710442418832
2030,8.94914915799232
2031,8.561501419861676
2032,8.028412793040877
2033,7.38915245762813
2034,6.650716513892686
2035,5.853969969739847
2036,5.0463227186001465
2037,4.2133143478072395
2038,3.3752459809038555
2039,2.5403105614368258
2040,1.7823321048547314
2041,1.0451079260636327
2042,0.5409411911376907
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
