year,purCO2LULUCF
2020,1.432
2021,4.546595117106072
2022,7.205187752778093
2023,9.404488921912215
2024,11.128575163313329
2025,12.466907687409059
2026,13.444588394677414
2027,14.081984134696974
2028,14.411413677140343
2029,14.452755066435879
2030,14.220848127417447
2031,13.74037799744916
2032,13.039573914393559
2033,12.142079009927954
2034,11.07409822690935
2035,9.876031443264047
2036,8.572789118018076
2037,7.254634014101455
2038,6.097462442186902
2039,4.950611783478202
2040,3.8840801566283574
2041,2.8388711591047766
2042,1.8091640446839392
2043,0.7459924145195984
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
