year,costAnnualAgri
2020,0.0
2021,7800470.1555254925
2022,15757984.715128034
2023,27680771.218395613
2024,50792048.040382504
2025,73355881.02437167
2026,95212533.20458344
2027,116395964.74957837
2028,136762431.5094484
2029,156322501.57311732
2030,175508499.55440983
2031,194095893.314384
2032,211594707.68222317
2033,228050370.16390237
2034,243574685.86538255
2035,257751346.82361746
2036,270507332.46064454
2037,281220170.4287504
2038,289164392.6353375
2039,293916195.0528433
2040,293997374.44174474
2041,292059383.48543346
2042,288086609.25351715
2043,282069871.8208845
2044,272528217.7800396
2045,262099017.54835126
2046,252896198.7620676
2047,243339230.8755823
2048,230564532.9139535
2049,212811479.31441173
2050,195058425.71486998
