year,ghgAbateAnnualFMs
2020,488000.0
2021,1444878.1183621997
2022,2458869.7588689197
2023,3530466.0644677393
2024,4660158.17810624
2025,5848437.242732
2026,7095794.4012926
2027,8402720.796735618
2028,9769707.57200864
2029,11197245.87005924
2030,12685826.833834998
2031,14235941.606283499
2032,15848081.330352321
2033,17522737.14898904
2034,19260400.20514124
2035,21061561.6417565
2036,22926391.49431308
2037,24812447.39957127
2038,26593306.835261196
2039,28427917.22320449
2040,30316769.70634875
2041,32260355.427641552
2042,34259165.530030474
2043,36313691.15646309
2044,38093700.497334786
2045,39043145.52068932
2046,39795790.8047559
2047,40366147.99790474
2048,40816479.385401264
2049,41325453.706784636
2050,41846556.288533285
