year,Total_costAnnual
2020,31.503999999999998
2021,160.55272163207454
2022,284.1494834045849
2023,372.397053727822
2024,579.5067147588095
2025,803.8166790794791
2026,1108.1322367161251
2027,1302.760824225411
2028,1422.2841829012605
2029,1523.219756482379
2030,1603.6938102438426
2031,1662.0214785234687
2032,1696.7089641139903
2033,1706.491474764132
2034,1690.6049334846894
2035,1649.7409292427794
2036,1583.5752057690058
2037,1496.362486127477
2038,1398.1285637333294
2039,1282.9213595508377
2040,1159.4056588961548
2041,1020.9345666885807
2042,865.6205408443027
2043,683.1819592756067
2044,539.2005192698434
2045,534.863401444157
2046,531.7427805254229
2047,528.2588575340653
2048,559.3139844499202
2049,212.8114793144117
2050,195.05842571486997
