year,purCO2LULUCF
2020,1.112
2021,3.6983348034997725
2022,5.845953515354884
2023,7.6109960369310325
2024,9.038042691809098
2025,10.150121726675788
2026,10.906295347993286
2027,11.398261765654537
2028,11.68478015073542
2029,11.736006014807701
2030,11.570993285060279
2031,11.208263502552471
2032,10.66530296975808
2033,9.96231924589649
2034,9.124159428906951
2035,8.187119551364201
2036,7.194810527565355
2037,6.219576819406715
2038,5.259986789428375
2039,4.311658891321969
2040,3.422606439965758
2041,2.5331268248300987
2042,1.6652201608701596
2043,0.7621435778532657
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
