year,costAnnualAgri
2020,0.0
2021,1209837.0776269329
2022,3135173.597707429
2023,17064362.595777445
2024,33230710.513898253
2025,50722390.654782526
2026,67945127.78147642
2027,84972450.81286591
2028,101634048.06578052
2029,127885173.96009494
2030,153271924.1154838
2031,177759117.2024726
2032,201807618.4787105
2033,225087841.18631664
2034,246847392.33507144
2035,266684124.36656985
2036,284813373.393931
2037,300454627.477884
2038,312773542.6480145
2039,322630758.2946302
2040,328924268.8215158
2041,333172308.46461576
2042,332707965.09441775
2043,319003605.984937
2044,302592596.2494756
2045,286181586.51401454
2046,269770576.7785532
2047,253359567.0430918
2048,236948557.3076307
2049,220537547.5721693
2050,204126537.83670798
