year,Total_ghgAnnual
2020,488000.0
2021,1413565.1965002285
2022,2413853.9540770897
2023,3515513.400676497
2024,4709400.191641762
2025,5976549.225183252
2026,7315216.743665011
2027,8780679.937738288
2028,10312979.266082743
2029,11915594.827112114
2030,13597044.938834582
2031,15356002.606728118
2032,17187596.735772256
2033,19091542.33713173
2034,21064992.610791642
2035,23090905.821667727
2036,25009450.761045367
2037,26945496.3150239
2038,28873417.980990123
2039,30808780.241708294
2040,32702398.592215512
2041,34628764.65813565
2042,36362028.64463949
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44115093.45528857
2050,46054059.77183781
