year,ghgAbateAnnualFMs
2020,487999.99999999994
2021,1285398.4319685
2022,2130391.4657241
2023,3023388.38705645
2024,3964798.4817552
2025,4955031.03561
2026,5994495.3344105
2027,7083600.663946348
2028,8222756.3100072
2029,9412371.558382701
2030,10652855.6948625
2031,11944618.005236253
2032,13288067.775293604
2033,14683614.2908242
2034,15995673.855825698
2035,17347801.71967175
2036,18743494.186359994
2037,20183160.5416801
2038,21667210.071421694
2039,23196052.06137445
2040,24770095.797327995
2041,26389750.565071996
2042,28055425.650396097
2043,29767530.339089945
2044,30764330.339089945
2045,31693397.00575661
2046,32522463.67242328
2047,33219263.672423273
2048,34862698.222156174
2049,37144258.49676602
2050,37396842.47814561
