year,purCO2LULUCF
2020,1.112
2021,3.6861348034997725
2022,5.875746045922912
2023,7.673719932656839
2024,9.108733141691573
2025,10.219284108150084
2026,10.975651008511877
2027,11.444087814438603
2028,11.653088486094145
2029,11.618706258398108
2030,11.35195614667564
2031,10.873698478782101
2032,10.208337683071298
2033,9.375692081711819
2034,8.534134789843918
2035,7.597094912301166
2036,6.5822499729235275
2037,5.5331044189449905
2038,4.494816086312099
2039,3.4713538255939262
2040,2.5288909459348154
2041,1.6089248800146656
2042,0.7078988762826839
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
