year,costAnnualFMs
2020,0.0
2021,31572280.061926585
2022,33136157.125830293
2023,34702330.03760184
2024,36270822.742512636
2025,37841659.18583403
2026,39414863.312837414
2027,40990459.06879415
2028,42568470.39897567
2029,44148921.24865328
2030,45731835.56309842
2031,47317237.287582465
2032,48905150.36737679
2033,50495598.747752726
2034,52088606.37398173
2035,53684197.19133512
2036,55282395.14508433
2037,56883224.18050069
2038,58486708.24285566
2039,60092871.27742051
2040,61701737.229466714
2041,63313330.04426558
2042,64927673.66708856
2043,66544792.04320699
2044,68164709.11789228
2045,69734626.29686184
2046,71298510.83861774
2047,72854422.18472269
2048,74400420.61408149
2049,0.0
2050,0.0
