year,Total_costAnnual
2020,24.464000000000002
2021,141.07695731369583
2022,243.9210413564144
2023,317.7898990336731
2024,483.5965161794665
2025,664.4880081775191
2026,918.2889460824036
2027,1080.1239053812515
2028,1178.8367513185635
2029,1261.4696320701669
2030,1326.4350202626679
2031,1372.3392738971195
2032,1397.9817866883232
2033,1402.3893301885837
2034,1385.083559630109
2035,1347.0310788822846
2036,1288.1551040549716
2037,1211.2546714030095
2038,1120.3227890281048
2039,1014.6582470753209
2040,902.56250397599
2041,777.2054793478209
2042,638.0005508026431
2043,485.4319738976002
2044,328.8468752352369
2045,315.82884445055873
2046,302.804781028667
2047,289.7727444111243
2048,276.73079487683543
2049,187.7424262991063
2050,173.15447833545858
