year,costAnnualFMs
2020,0.0
2021,13789321.779919066
2022,15104951.720427817
2023,16774093.38880983
2024,18835470.977097504
2025,21327808.677323233
2026,24289830.681519415
2027,27760261.181718428
2028,31777824.369952694
2029,36381244.43825461
2030,41609245.57865655
2031,47500551.9831909
2032,54093887.84389012
2033,61427977.35278657
2034,69541544.70191258
2035,78473314.08330068
2036,88262009.68898314
2037,98946355.71099244
2038,110535959.22017248
2039,123092601.92044471
2040,126288834.98178723
2041,129486204.23594338
2042,132684719.66010956
2043,135870101.79974774
2044,139051814.75205225
2045,142231822.99642792
2046,145409317.61128265
2047,148583490.03096706
2048,151753532.03871903
2049,0.0
2050,0.0
