year,costAnnualAgri
2020,0.0
2021,17005176.664930727
2022,33793591.830697216
2023,54146159.10637642
2024,76284330.0986537
2025,97875057.25293326
2026,118758603.60343544
2027,138968929.31872073
2028,158362290.24888116
2029,176949254.48284045
2030,195162146.63442335
2031,212776434.56468797
2032,229302143.10281754
2033,244784699.75478712
2034,259335909.6265577
2035,272539464.75508296
2036,284322344.56240046
2037,294062076.7007967
2038,301033193.0776742
2039,304811889.6654704
2040,303919963.22466224
2041,301008866.4386414
2042,296062986.37701553
2043,289228599.5795803
2044,281227856.34111977
2045,271957284.4074495
2046,260473013.95814437
2047,247414443.20514685
2048,233412420.7289987
2049,218449983.0271342
2050,202510166.596989
