year,ghgAbateAnnualFMs
2020,488000.0
2021,1285398.4319685
2022,2130391.4657241
2023,3023388.38705645
2024,3964798.4817552
2025,4955031.03561
2026,5994495.3344105
2027,7083600.663946349
2028,8222756.3100072
2029,9412371.558382701
2030,10652855.6948625
2031,11944618.005236253
2032,13288067.775293604
2033,14683614.2908242
2034,16131666.837617699
2035,17632634.701463755
2036,19056679.665026702
2037,20496346.02034681
2038,21980395.550088402
2039,23509237.540041156
2040,25083281.275994703
2041,26702936.043738704
2042,28368611.129062805
2043,30080715.817756653
2044,31077515.81775665
2045,32006582.48442332
2046,32835649.15108998
2047,33532449.151089977
2048,34064715.817756645
2049,36341746.55310414
2050,38254680.224794544
