year,purCO2LULUCF
2020,1.2096
2021,3.8986504898934724
2022,6.211409356169776
2023,8.140844661374262
2024,9.715714940654875
2025,10.974600486292523
2026,11.938860246414416
2027,12.62511811824831
2028,13.061949919116024
2029,13.265490741095087
2030,13.246837456668574
2031,13.026932250849795
2032,12.630261409150462
2033,12.076725110897097
2034,11.388785346595895
2035,10.603099041822349
2036,9.740512595782352
2037,8.844612312867849
2038,7.96110370773977
2039,7.093642113003511
2040,6.308440106603932
2041,5.54448500032424
2042,4.800846428923492
2043,4.032488165344489
2044,3.1850200694036594
2045,2.2920139373224764
2046,1.3140593188258727
2047,0.314431096658776
2048,0.0
2049,0.0
2050,0.0
